Thread ID: -608599848
Total: 0.053116

 %self     total     self     wait    child    calls  name
  8.18      0.00     0.00     0.00     0.00      153  String#split
  7.28      0.00     0.00     0.00     0.00     3267  Regexp#===
  6.96      0.04     0.00     0.00     0.04      301  Array#each
  2.71      0.00     0.00     0.00     0.00     1528  Hash#[]
  2.10      0.00     0.00     0.00     0.00       20  Kernel#raise
  1.55      0.00     0.00     0.00     0.00       79  Hash#each
  1.55      0.01     0.00     0.00     0.01       40  Hash#each_pair
  1.11      0.00     0.00     0.00     0.00      240  String#gsub
  1.04      0.05     0.00     0.00     0.05        1  ActiveSupport::Testing::Performance::Profiler#run
  1.02      0.00     0.00     0.00     0.00      107  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  1.01      0.00     0.00     0.00     0.00       87  Rack::Lint::Assertion#assert
  1.01      0.01     0.00     0.00     0.01      123  <Module::ActiveSupport::Multibyte>#clean
  0.90      0.00     0.00     0.00     0.00       54  String#inspect
  0.86      0.00     0.00     0.00     0.00      213  Class#new
  0.85      0.00     0.00     0.00     0.00      169  Array#join
  0.82      0.00     0.00     0.00     0.00      594  Hash#default
  0.81      0.01     0.00     0.00     0.01      123  ActionView::Helpers::TagHelper#escape_once
  0.77      0.00     0.00     0.00     0.00        7  SQLite3::Statement#initialize
  0.75      0.00     0.00     0.00     0.00      123  <Module::ActiveSupport::Multibyte>#valid_character
  0.71      0.00     0.00     0.00     0.00      432  Hash#[]=
  0.70      0.00     0.00     0.00     0.00      340  Symbol#to_s
  0.65      0.05     0.00     0.00     0.05        9  <Module::Benchmark>#realtime
  0.60      0.00     0.00     0.00     0.00       19  I18n::Backend::Base#translate
  0.53      0.01     0.00     0.00     0.01       34  ActionView::Helpers::TagHelper#tag_options
  0.53      0.00     0.00     0.00     0.00      367  Kernel#is_a?
  0.51      0.00     0.00     0.00     0.00       39  Array#flatten
  0.51      0.00     0.00     0.00     0.00      185  Kernel#respond_to?
  0.51      0.05     0.00     0.00     0.05       91  Proc#call
  0.49      0.00     0.00     0.00     0.00      328  Module#===
  0.46      0.00     0.00     0.00     0.00      345  String#==
  0.45      0.00     0.00     0.00     0.00       71  String#blank?
  0.43      0.00     0.00     0.00     0.00       29  <Module::I18n>#normalize_keys
  0.42      0.00     0.00     0.00     0.00        9  Hash#each_key
  0.42      0.00     0.00     0.00     0.00      102  String#html_safe
  0.42      0.00     0.00     0.00     0.00      288  Hash#delete
  0.41      0.00     0.00     0.00     0.00      292  String#to_s
  0.40      0.03     0.00     0.00     0.03        5  SimpleForm::ActionViewExtensions::FormHelper#simple_form_for
  0.40      0.00     0.00     0.00     0.00       87  <Module::I18n>#normalize_key
  0.39      0.00     0.00     0.00     0.00       15  SQLite3::Statement#step
  0.38      0.05     0.00     0.00     0.05       87  Kernel#send
  0.37      0.00     0.00     0.00     0.00       29  I18n::Backend::Base#resolve
  0.37      0.00     0.00     0.00     0.00       35  ActiveRecord::AttributeMethods#respond_to?
  0.36      0.00     0.00     0.00     0.00      122  Set#include?
  0.36      0.00     0.00     0.00     0.00       30  <Class::ActiveRecord::Base>#scoped_methods
  0.35      0.00     0.00     0.00     0.00       98  Kernel#dup
  0.35      0.01     0.00     0.00     0.01      123  Enumerable#grep
  0.35      0.00     0.00     0.00     0.00       54  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
